tollgate_id,direction,date,time_window,weekday,holiday,volume,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
3,1,2016-09-19,"[00:00:00,00:20:00)",1,False,181,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[00:20:00,00:40:00)",1,False,112,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[00:40:00,01:00:00)",1,False,93,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[01:00:00,01:20:00)",1,False,4,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[01:20:00,01:40:00)",1,False,5,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[01:40:00,02:00:00)",1,False,4,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[02:00:00,02:20:00)",1,False,5,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[02:20:00,02:40:00)",1,False,4,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3,1,2016-09-19,"[03:00:00,03:20:00)",1,False,5,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[03:20:00,03:40:00)",1,False,3,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[03:40:00,04:00:00)",1,False,10,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[04:00:00,04:20:00)",1,False,4,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[04:20:00,04:40:00)",1,False,7,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[04:40:00,05:00:00)",1,False,3,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[05:00:00,05:20:00)",1,False,11,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[05:20:00,05:40:00)",1,False,7,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[05:40:00,06:00:00)",1,False,13,1008.3,1013.3,15.0,4.5,24.4,67.0,0.0
3,1,2016-09-19,"[06:00:00,06:20:00)",1,False,30,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[06:20:00,06:40:00)",1,False,38,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[06:40:00,07:00:00)",1,False,65,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[07:00:00,07:20:00)",1,False,67,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[07:20:00,07:40:00)",1,False,71,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[07:40:00,08:00:00)",1,False,103,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[08:00:00,08:20:00)",1,False,118,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[08:20:00,08:40:00)",1,False,168,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[08:40:00,09:00:00)",1,False,161,1007.4,1012.3,12.0,6.2,26.8,56.0,0.0
3,1,2016-09-19,"[09:00:00,09:20:00)",1,False,145,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[09:20:00,09:40:00)",1,False,125,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[09:40:00,10:00:00)",1,False,116,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[10:00:00,10:20:00)",1,False,117,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[10:20:00,10:40:00)",1,False,87,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[10:40:00,11:00:00)",1,False,85,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[11:00:00,11:20:00)",1,False,73,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[11:20:00,11:40:00)",1,False,72,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[11:40:00,12:00:00)",1,False,73,1008.3,1013.3,351.0,5.3,23.8,72.0,0.1
3,1,2016-09-19,"[12:00:00,12:20:00)",1,False,94,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[12:20:00,12:40:00)",1,False,86,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[12:40:00,13:00:00)",1,False,94,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[13:00:00,13:20:00)",1,False,91,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[13:20:00,13:40:00)",1,False,110,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[13:40:00,14:00:00)",1,False,100,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[14:00:00,14:20:00)",1,False,95,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[14:20:00,14:40:00)",1,False,99,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[14:40:00,15:00:00)",1,False,93,1010.4,1015.4,302.0,2.3,20.8,92.0,1.1
3,1,2016-09-19,"[15:00:00,15:20:00)",1,False,75,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[15:20:00,15:40:00)",1,False,95,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[15:40:00,16:00:00)",1,False,83,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[16:00:00,16:20:00)",1,False,101,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[16:20:00,16:40:00)",1,False,90,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[16:40:00,17:00:00)",1,False,115,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[17:00:00,17:20:00)",1,False,86,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[17:20:00,17:40:00)",1,False,85,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[17:40:00,18:00:00)",1,False,91,1011.1,1016.1,18.0,2.6,21.4,80.0,0.0
3,1,2016-09-19,"[18:00:00,18:20:00)",1,False,73,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[18:20:00,18:40:00)",1,False,78,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[18:40:00,19:00:00)",1,False,77,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[19:00:00,19:20:00)",1,False,44,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[19:20:00,19:40:00)",1,False,45,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[19:40:00,20:00:00)",1,False,46,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[20:00:00,20:20:00)",1,False,32,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[20:20:00,20:40:00)",1,False,40,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[20:40:00,21:00:00)",1,False,42,1011.1,1016.1,333.0,2.4,20.2,75.0,0.0
3,1,2016-09-19,"[21:00:00,21:20:00)",1,False,30,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[21:20:00,21:40:00)",1,False,37,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[21:40:00,22:00:00)",1,False,33,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[22:00:00,22:20:00)",1,False,16,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[22:20:00,22:40:00)",1,False,13,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[22:40:00,23:00:00)",1,False,21,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[23:00:00,23:20:00)",1,False,7,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[23:20:00,23:40:00)",1,False,11,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-19,"[23:40:00,00:00:00)",1,False,16,1012.0,1017.0,319.0,2.7,19.1,75.0,0.0
3,1,2016-09-20,"[00:00:00,00:20:00)",2,False,231,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[00:20:00,00:40:00)",2,False,148,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[00:40:00,01:00:00)",2,False,92,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[01:00:00,01:20:00)",2,False,9,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[01:20:00,01:40:00)",2,False,10,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[01:40:00,02:00:00)",2,False,5,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[02:00:00,02:20:00)",2,False,4,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[02:20:00,02:40:00)",2,False,4,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[02:40:00,03:00:00)",2,False,8,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0
3,1,2016-09-20,"[03:00:00,03:20:00)",2,False,6,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[03:20:00,03:40:00)",2,False,3,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[03:40:00,04:00:00)",2,False,6,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[04:00:00,04:20:00)",2,False,6,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[04:20:00,04:40:00)",2,False,6,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[04:40:00,05:00:00)",2,False,4,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[05:00:00,05:20:00)",2,False,12,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[05:20:00,05:40:00)",2,False,12,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[05:40:00,06:00:00)",2,False,18,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0
3,1,2016-09-20,"[06:00:00,06:20:00)",2,False,24,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[06:20:00,06:40:00)",2,False,43,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[06:40:00,07:00:00)",2,False,66,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[07:00:00,07:20:00)",2,False,83,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[07:20:00,07:40:00)",2,False,97,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[07:40:00,08:00:00)",2,False,122,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[08:00:00,08:20:00)",2,False,154,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[08:20:00,08:40:00)",2,False,209,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[08:40:00,09:00:00)",2,False,210,1012.2,1017.2,7.0,4.6,26.9,43.0,0.0
3,1,2016-09-20,"[09:00:00,09:20:00)",2,False,191,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[09:20:00,09:40:00)",2,False,222,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[09:40:00,10:00:00)",2,False,174,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[10:00:00,10:20:00)",2,False,81,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[10:20:00,10:40:00)",2,False,97,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[10:40:00,11:00:00)",2,False,77,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[11:00:00,11:20:00)",2,False,79,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[11:20:00,11:40:00)",2,False,82,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[11:40:00,12:00:00)",2,False,83,1012.6,1017.6,11.0,4.5,25.4,42.0,0.0
3,1,2016-09-20,"[12:00:00,12:20:00)",2,False,109,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[12:20:00,12:40:00)",2,False,78,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[12:40:00,13:00:00)",2,False,92,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[13:00:00,13:20:00)",2,False,94,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[13:20:00,13:40:00)",2,False,88,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[13:40:00,14:00:00)",2,False,99,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[14:00:00,14:20:00)",2,False,99,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[14:20:00,14:40:00)",2,False,81,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
3,1,2016-09-20,"[14:40:00,15:00:00)",2,False,89,1013.7,1018.7,25.0,1.7,22.1,53.0,0.0
