"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6"
"3",2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"16",2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"25",2,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"65",2,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,0,0,0,0,0,0
"70",2,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,0,0,0,0,0,0
"75",2,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,0,0,0,0,0,0
"80",2,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,2,1,2,14,12,21
"85",2,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,2,1,2,14,12,21
"90",2,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,2,1,2,14,12,21
"95",2,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,2,1,2,14,12,21
"100",2,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,2,1,2,14,12,21
"105",2,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,2,1,2,14,12,21
"110",2,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,30,36,37,84,80,97
"115",2,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,30,36,37,84,80,97
"120",2,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,30,36,37,84,80,97
"125",2,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,30,36,37,84,80,97
"130",2,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,30,36,37,84,80,97
"135",2,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,30,36,37,84,80,97
"140",2,"[2016-09-19 10:00:00,2016-09-19 10:20:00)",0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,129,122,98,89,78,59
"145",2,"[2016-09-19 10:20:00,2016-09-19 10:40:00)",0,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,129,122,98,89,78,59
"150",2,"[2016-09-19 10:40:00,2016-09-19 11:00:00)",0,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,129,122,98,89,78,59
"155",2,"[2016-09-19 11:00:00,2016-09-19 11:20:00)",0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,129,122,98,89,78,59
"160",2,"[2016-09-19 11:20:00,2016-09-19 11:40:00)",0,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1,129,122,98,89,78,59
"165",2,"[2016-09-19 11:40:00,2016-09-19 12:00:00)",0,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1,129,122,98,89,78,59
