"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation"
"4",3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"8",3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"12",3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0
"17",3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"21",3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0
"26",3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0
"30",3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"34",3,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"38",3,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0
"41",3,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"45",3,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"49",3,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0
"53",3,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"57",3,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0,8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0
"61",3,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0
"66",3,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0
"71",3,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0
"76",3,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0
"81",3,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0
"86",3,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,58,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0
"91",3,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0
"96",3,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0
"101",3,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0,123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0
"106",3,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0,153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0
"111",3,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"116",3,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"121",3,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"126",3,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"131",3,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,144,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"136",3,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",0,148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"141",3,"[2016-09-19 10:00:00,2016-09-19 10:20:00)",0,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"146",3,"[2016-09-19 10:20:00,2016-09-19 10:40:00)",0,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"151",3,"[2016-09-19 10:40:00,2016-09-19 11:00:00)",0,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1
"156",3,"[2016-09-19 11:00:00,2016-09-19 11:20:00)",0,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"161",3,"[2016-09-19 11:20:00,2016-09-19 11:40:00)",0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"166",3,"[2016-09-19 11:40:00,2016-09-19 12:00:00)",0,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"171",3,"[2016-09-19 12:00:00,2016-09-19 12:20:00)",0,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"176",3,"[2016-09-19 12:20:00,2016-09-19 12:40:00)",0,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"181",3,"[2016-09-19 12:40:00,2016-09-19 13:00:00)",0,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"186",3,"[2016-09-19 13:00:00,2016-09-19 13:20:00)",0,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"191",3,"[2016-09-19 13:20:00,2016-09-19 13:40:00)",0,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"196",3,"[2016-09-19 13:40:00,2016-09-19 14:00:00)",0,131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1010.4,1015.4,302,2.3,20.8,92,1.1
"201",3,"[2016-09-19 14:00:00,2016-09-19 14:20:00)",0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0
"206",3,"[2016-09-19 14:20:00,2016-09-19 14:40:00)",0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0
"211",3,"[2016-09-19 14:40:00,2016-09-19 15:00:00)",0,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0
"216",3,"[2016-09-19 15:00:00,2016-09-19 15:20:00)",0,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0
"221",3,"[2016-09-19 15:20:00,2016-09-19 15:40:00)",0,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0
"226",3,"[2016-09-19 15:40:00,2016-09-19 16:00:00)",0,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0
"231",3,"[2016-09-19 16:00:00,2016-09-19 16:20:00)",0,123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,18,2.6,21.4,80,0
"236",3,"[2016-09-19 16:20:00,2016-09-19 16:40:00)",0,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,18,2.6,21.4,80,0
"241",3,"[2016-09-19 16:40:00,2016-09-19 17:00:00)",0,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,18,2.6,21.4,80,0
"246",3,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",0,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"251",3,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",0,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"256",3,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",0,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0
"261",3,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",0,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0
"266",3,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0
