,tollgate_id,time_window,direction,volume,time,date,hour,weekday,nummin
0,1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,140,2016-09-19 00:00:00,2016-09-19,00:00:00,0,1
1,1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13,2016-09-19 00:00:00,2016-09-19,00:00:00,0,1
2,3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,181,2016-09-19 00:00:00,2016-09-19,00:00:00,0,1
3,3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,17,2016-09-19 00:00:00,2016-09-19,00:00:00,0,1
4,2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,2,2016-09-19 00:00:00,2016-09-19,00:00:00,0,1
5,1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,56,2016-09-19 00:20:00,2016-09-19,00:20:00,0,2
6,1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6,2016-09-19 00:20:00,2016-09-19,00:20:00,0,2
7,3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,112,2016-09-19 00:20:00,2016-09-19,00:20:00,0,2
8,3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,16,2016-09-19 00:20:00,2016-09-19,00:20:00,0,2
9,1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,31,2016-09-19 00:40:00,2016-09-19,00:40:00,0,3
10,1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9,2016-09-19 00:40:00,2016-09-19,00:40:00,0,3
11,3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,93,2016-09-19 00:40:00,2016-09-19,00:40:00,0,3
12,3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,16,2016-09-19 00:40:00,2016-09-19,00:40:00,0,3
13,1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016-09-19 01:00:00,2016-09-19,01:00:00,0,4
14,1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10,2016-09-19 01:00:00,2016-09-19,01:00:00,0,4
15,3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,2016-09-19 01:00:00,2016-09-19,01:00:00,0,4
16,3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,17,2016-09-19 01:00:00,2016-09-19,01:00:00,0,4
17,2,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,1,2016-09-19 01:00:00,2016-09-19,01:00:00,0,4
18,1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,14,2016-09-19 01:20:00,2016-09-19,01:20:00,0,5
19,1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14,2016-09-19 01:20:00,2016-09-19,01:20:00,0,5
20,3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,5,2016-09-19 01:20:00,2016-09-19,01:20:00,0,5
21,3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,17,2016-09-19 01:20:00,2016-09-19,01:20:00,0,5
22,1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,7,2016-09-19 01:40:00,2016-09-19,01:40:00,0,6
23,1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,10,2016-09-19 01:40:00,2016-09-19,01:40:00,0,6
