,Unnamed: 0,time_window,volume,hour__6,hour__7,hour__8,hour__9,hour__15,hour__16,hour__17,hour__18,date
0,45,15:20:00),48,0,0,0,0,1,0,0,0,[2016-09-19
1,46,15:40:00),57,0,0,0,0,1,0,0,0,[2016-09-19
2,47,16:00:00),43,0,0,0,0,1,0,0,0,[2016-09-19
3,48,16:20:00),42,0,0,0,0,0,1,0,0,[2016-09-19
4,49,16:40:00),46,0,0,0,0,0,1,0,0,[2016-09-19
5,50,17:00:00),55,0,0,0,0,0,1,0,0,[2016-09-19
6,51,17:20:00),36,0,0,0,0,0,0,1,0,[2016-09-19
7,52,17:40:00),34,0,0,0,0,0,0,1,0,[2016-09-19
8,53,18:00:00),24,0,0,0,0,0,0,1,0,[2016-09-19
9,54,18:20:00),29,0,0,0,0,0,0,0,1,[2016-09-19
10,55,18:40:00),27,0,0,0,0,0,0,0,1,[2016-09-19
11,56,19:00:00),18,0,0,0,0,0,0,0,1,[2016-09-19
12,117,15:20:00),71,0,0,0,0,1,0,0,0,[2016-09-20
13,118,15:40:00),64,0,0,0,0,1,0,0,0,[2016-09-20
14,119,16:00:00),73,0,0,0,0,1,0,0,0,[2016-09-20
15,120,16:20:00),48,0,0,0,0,0,1,0,0,[2016-09-20
16,121,16:40:00),57,0,0,0,0,0,1,0,0,[2016-09-20
17,122,17:00:00),48,0,0,0,0,0,1,0,0,[2016-09-20
18,123,17:20:00),38,0,0,0,0,0,0,1,0,[2016-09-20
19,124,17:40:00),42,0,0,0,0,0,0,1,0,[2016-09-20
20,125,18:00:00),38,0,0,0,0,0,0,1,0,[2016-09-20
21,126,18:20:00),26,0,0,0,0,0,0,0,1,[2016-09-20
22,127,18:40:00),29,0,0,0,0,0,0,0,1,[2016-09-20
23,128,19:00:00),20,0,0,0,0,0,0,0,1,[2016-09-20
24,189,15:20:00),48,0,0,0,0,1,0,0,0,[2016-09-21
25,190,15:40:00),46,0,0,0,0,1,0,0,0,[2016-09-21
26,191,16:00:00),49,0,0,0,0,1,0,0,0,[2016-09-21
27,192,16:20:00),46,0,0,0,0,0,1,0,0,[2016-09-21
28,193,16:40:00),45,0,0,0,0,0,1,0,0,[2016-09-21
29,194,17:00:00),46,0,0,0,0,0,1,0,0,[2016-09-21
30,195,17:20:00),47,0,0,0,0,0,0,1,0,[2016-09-21
31,196,17:40:00),35,0,0,0,0,0,0,1,0,[2016-09-21
32,197,18:00:00),20,0,0,0,0,0,0,1,0,[2016-09-21
33,198,18:20:00),20,0,0,0,0,0,0,0,1,[2016-09-21
34,199,18:40:00),20,0,0,0,0,0,0,0,1,[2016-09-21
35,200,19:00:00),24,0,0,0,0,0,0,0,1,[2016-09-21
36,261,15:20:00),61,0,0,0,0,1,0,0,0,[2016-09-22
37,262,15:40:00),48,0,0,0,0,1,0,0,0,[2016-09-22
38,263,16:00:00),57,0,0,0,0,1,0,0,0,[2016-09-22
39,264,16:20:00),58,0,0,0,0,0,1,0,0,[2016-09-22
40,265,16:40:00),52,0,0,0,0,0,1,0,0,[2016-09-22
41,266,17:00:00),42,0,0,0,0,0,1,0,0,[2016-09-22
42,267,17:20:00),29,0,0,0,0,0,0,1,0,[2016-09-22
43,268,17:40:00),36,0,0,0,0,0,0,1,0,[2016-09-22
44,269,18:00:00),33,0,0,0,0,0,0,1,0,[2016-09-22
45,270,18:20:00),26,0,0,0,0,0,0,0,1,[2016-09-22
46,271,18:40:00),21,0,0,0,0,0,0,0,1,[2016-09-22
47,272,19:00:00),24,0,0,0,0,0,0,0,1,[2016-09-22
48,333,15:20:00),47,0,0,0,0,1,0,0,0,[2016-09-23
49,334,15:40:00),66,0,0,0,0,1,0,0,0,[2016-09-23
50,335,16:00:00),78,0,0,0,0,1,0,0,0,[2016-09-23
51,336,16:20:00),76,0,0,0,0,0,1,0,0,[2016-09-23
52,337,16:40:00),86,0,0,0,0,0,1,0,0,[2016-09-23
53,338,17:00:00),44,0,0,0,0,0,1,0,0,[2016-09-23
54,339,17:20:00),45,0,0,0,0,0,0,1,0,[2016-09-23
55,340,17:40:00),38,0,0,0,0,0,0,1,0,[2016-09-23
56,341,18:00:00),46,0,0,0,0,0,0,1,0,[2016-09-23
57,342,18:20:00),40,0,0,0,0,0,0,0,1,[2016-09-23
58,343,18:40:00),45,0,0,0,0,0,0,0,1,[2016-09-23
59,344,19:00:00),32,0,0,0,0,0,0,0,1,[2016-09-23
60,405,15:20:00),55,0,0,0,0,1,0,0,0,[2016-09-24
61,406,15:40:00),63,0,0,0,0,1,0,0,0,[2016-09-24
62,407,16:00:00),66,0,0,0,0,1,0,0,0,[2016-09-24
63,408,16:20:00),81,0,0,0,0,0,1,0,0,[2016-09-24
64,409,16:40:00),59,0,0,0,0,0,1,0,0,[2016-09-24
65,410,17:00:00),48,0,0,0,0,0,1,0,0,[2016-09-24
66,411,17:20:00),73,0,0,0,0,0,0,1,0,[2016-09-24
67,412,17:40:00),55,0,0,0,0,0,0,1,0,[2016-09-24
68,413,18:00:00),32,0,0,0,0,0,0,1,0,[2016-09-24
69,414,18:20:00),42,0,0,0,0,0,0,0,1,[2016-09-24
70,415,18:40:00),35,0,0,0,0,0,0,0,1,[2016-09-24
71,416,19:00:00),54,0,0,0,0,0,0,0,1,[2016-09-24
72,477,15:20:00),65,0,0,0,0,1,0,0,0,[2016-09-25
73,478,15:40:00),61,0,0,0,0,1,0,0,0,[2016-09-25
74,479,16:00:00),52,0,0,0,0,1,0,0,0,[2016-09-25
75,480,16:20:00),70,0,0,0,0,0,1,0,0,[2016-09-25
76,481,16:40:00),63,0,0,0,0,0,1,0,0,[2016-09-25
77,482,17:00:00),73,0,0,0,0,0,1,0,0,[2016-09-25
78,483,17:20:00),63,0,0,0,0,0,0,1,0,[2016-09-25
79,484,17:40:00),49,0,0,0,0,0,0,1,0,[2016-09-25
80,485,18:00:00),42,0,0,0,0,0,0,1,0,[2016-09-25
81,486,18:20:00),56,0,0,0,0,0,0,0,1,[2016-09-25
82,487,18:40:00),38,0,0,0,0,0,0,0,1,[2016-09-25
83,488,19:00:00),31,0,0,0,0,0,0,0,1,[2016-09-25
84,549,15:20:00),33,0,0,0,0,1,0,0,0,[2016-09-26
85,550,15:40:00),51,0,0,0,0,1,0,0,0,[2016-09-26
86,551,16:00:00),43,0,0,0,0,1,0,0,0,[2016-09-26
87,552,16:20:00),44,0,0,0,0,0,1,0,0,[2016-09-26
88,553,16:40:00),56,0,0,0,0,0,1,0,0,[2016-09-26
89,554,17:00:00),46,0,0,0,0,0,1,0,0,[2016-09-26
90,555,17:20:00),47,0,0,0,0,0,0,1,0,[2016-09-26
91,556,17:40:00),42,0,0,0,0,0,0,1,0,[2016-09-26
92,557,18:00:00),30,0,0,0,0,0,0,1,0,[2016-09-26
93,558,18:20:00),33,0,0,0,0,0,0,0,1,[2016-09-26
94,559,18:40:00),22,0,0,0,0,0,0,0,1,[2016-09-26
95,560,19:00:00),29,0,0,0,0,0,0,0,1,[2016-09-26
96,621,15:20:00),39,0,0,0,0,1,0,0,0,[2016-09-27
97,622,15:40:00),47,0,0,0,0,1,0,0,0,[2016-09-27
98,623,16:00:00),44,0,0,0,0,1,0,0,0,[2016-09-27
99,624,16:20:00),58,0,0,0,0,0,1,0,0,[2016-09-27
100,625,16:40:00),53,0,0,0,0,0,1,0,0,[2016-09-27
101,626,17:00:00),48,0,0,0,0,0,1,0,0,[2016-09-27
